year,Observed,Current forecast + historical growth,2% growth,2% growth + Gini reduction 1%,2% growth + Gini reduction 2%,4% growth
2010,57.77,,,,,
2011,56.3,,,,,
2012,54.98,,,,,
2013,53.24,,,,,
2014,52.08,,,,,
2015,50.99,,,,,
2016,50.05,,,,,
2017,48.82,,,,,
2018,47.42,,,,,
2019,46.33,,,,,
2020,47.21,,,,,
2021,45.67,,,,,
2022,44.95,,,,,
2023,44.32,,,,,
2024,43.65,,,,,
2025,,42.96,43.39,43.22,43.05,42.9
2026,,42.27,43.11,42.81,42.51,42.15
2027,,41.61,42.89,42.42,41.95,41.43
2028,,40.9,42.66,42.03,41.46,40.7
2029,,40.15,42.43,41.61,40.96,39.93
2030,,39.35,42.18,41.24,40.51,39.12
2031,,38.52,41.96,40.89,40.05,38.34
2032,,37.7,41.67,40.52,39.63,37.55
2033,,36.9,41.4,40.12,39.17,36.78
2034,,36.08,41.15,39.72,38.76,35.98
2035,,35.19,40.85,39.33,38.4,35.14
2036,,34.42,40.55,38.89,37.99,34.33
2037,,33.64,40.26,38.49,37.52,33.52
2038,,32.89,40.01,38.09,37.12,32.7
2039,,32.23,39.7,37.73,36.73,31.8
2040,,31.56,39.41,37.32,36.26,31
2041,,30.91,39.12,36.93,35.78,30.17
2042,,30.31,38.81,36.5,35.25,29.3
2043,,29.67,38.51,36.05,34.77,28.51
2044,,29.04,38.19,35.61,34.29,27.72
2045,,28.49,37.88,35.24,33.72,26.91
2046,,27.97,37.55,34.77,33.18,26.15
2047,,27.48,37.27,34.31,32.51,25.38
2048,,27.02,36.89,33.84,31.81,24.63
2049,,26.48,36.62,33.29,30.94,23.89
2050,,26.03,36.27,32.75,30.17,23.1
