year,Global Prosperity Gap,Global Prosperity Gap (forecast)
1981,12.7,
1982,12.24,
1983,11.76,
1984,11.1,
1985,10.78,
1986,10.53,
1987,10.4,
1988,10.05,
1989,10.55,
1990,10.47,
1991,10.4,
1992,10.31,
1993,10.21,
1994,9.85,
1995,9.53,
1996,9.31,
1997,9.27,
1998,9.35,
1999,9.22,
2000,9.05,
2001,8.83,
2002,8.5,
2003,8.21,
2004,7.85,
2005,7.53,
2006,7.26,
2007,6.96,
2008,6.75,
2009,6.59,
2010,6.28,
2011,6.03,
2012,5.83,
2013,5.49,
2014,5.36,
2015,5.23,
2016,5.13,
2017,5.03,
2018,4.93,
2019,4.87,
2020,4.97,
2021,4.85,
2022,4.79,
2023,4.7,4.7
2024,,4.66
2025,,4.6
